a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,150,150,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,150,150,12,12
12,150,150,150,150,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,150,150,150,150,12,12
12,150,150,150,122,150,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,150,122,150,150,150,12,12
12,150,150,150,122,122,150,150,12,12,12,12,12,12,12,12,12,12,12,12,12,150,150,122,122,150,150,150,12,12
12,12,150,150,122,122,122,122,150,12,12,12,12,12,12,12,12,12,12,12,150,122,122,122,122,150,150,12,12,12
12,12,150,150,122,122,122,122,122,150,150,12,12,150,150,150,12,12,150,150,122,122,122,122,122,150,150,12,12,12
12,12,12,150,122,122,122,122,122,122,122,150,150,122,122,122,150,150,122,122,122,122,122,122,122,150,12,12,12,12
12,12,12,150,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,150,12,12,12,12
12,12,12,12,150,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,150,12,12,12,12,12
12,12,12,12,12,150,122,150,122,122,122,122,122,122,122,122,122,122,122,122,122,150,122,150,12,12,12,12,12,12
12,12,12,12,12,12,150,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,150,12,12,12,12,12,12,12
12,12,12,12,12,12,150,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,150,12,12,12,12,12,12,12
12,12,12,12,12,150,122,122,122,124,124,122,122,122,122,122,122,122,124,124,122,122,122,150,12,12,12,12,12,12
12,12,12,12,12,150,122,122,124,49,124,124,122,122,122,122,122,124,49,124,124,122,122,150,12,12,12,12,12,12
12,12,12,12,12,150,122,122,124,124,124,124,122,122,122,122,122,124,124,124,124,122,122,150,12,12,12,12,12,12
12,12,12,12,12,150,122,122,122,124,124,122,122,122,122,122,122,122,124,124,122,122,122,150,12,12,12,12,12,12
12,12,12,12,150,122,122,123,123,122,122,122,122,122,124,122,122,122,122,122,123,123,122,122,150,12,12,12,12,12
12,12,12,12,150,122,123,123,123,123,122,122,122,122,122,122,122,122,122,123,123,123,123,122,150,12,12,12,12,12
12,12,12,12,150,122,123,123,123,123,122,122,124,122,124,122,124,122,122,123,123,123,123,122,150,12,12,12,12,12
12,12,12,12,12,150,122,123,123,122,122,122,122,124,124,124,122,122,122,122,123,123,122,150,12,12,12,12,12,12
12,12,12,12,12,12,150,122,122,122,122,122,122,124,121,124,122,122,122,122,122,122,150,12,12,12,12,12,12,12
12,12,12,12,12,12,12,150,150,122,122,122,122,122,124,122,122,122,122,122,150,150,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,150,150,150,122,122,122,122,122,150,150,150,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,150,150,150,150,150,12,12,12,12,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
